reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
fedora-infra/bodhi,mattiaverga,AdamWill,abompard,ryanlerch,abitrolly,judovana,robert-scheck,robatino,skywalkersPadawan,nirik,cottsay,hluk,gotmax23,juhp,,,,,,,,,,,,,,,,
ffi/ffi,larskanis,casperisfine,cfis,ParadoxV5,ioquatix,peterzhu2118,F16shen,steakknife,thesamesam,matoro,rgaufman,chrisvasselli,JayHeaslip,xeron,Liuer-Jiang,tetron,eregon,KrisLau,sondnm,JulienItard,kojix2,nathanweeks,harisbaig100,brodock,,,,,,
finance-quote/finance-quote,bpschuck,vincentl,szabgab,mumpitzstuff,Wm-X,fabrica64,Kaligula0,Jujhar,s7eph4n,vishalg,diablodale,bentziaxl,lodenrogue,marc-medley,hublol,crowedavid,hymie0,Trentan,avlsi,ka-patel,besteru,mydogonfire,blitz94,3aboooody56,davidamaral1005,pghmcfc,jmozmoz,dima-ser,deck926,Murugan-CL
flori/json,hsbt,luke-gru,headius,casperisfine,notEthan,r7kamura,eregon,MSP-Greg,mrckzgl,paracycle,gentaro-sakamoto,mensfeld,,,,,,,,,,,,,,,,,,
fluentmigrator/fluentmigrator,jzabroski,ToddRopog,vmandic,Rinfra90,OlegUfaev,turagittech,elenaaralla,lrobin136,SpiridonovAlexMoeDelo,Mesjudis,adrianbanks,PauloDaniel1993,hcasado,slang25,georg-jung,franckyj,jon49,PeteW,eloekset,giggio,,,,,,,,,,
FluentValidation/FluentValidation,JeremySkinner,juchom,knightmeister,mrlldd,nschoenberg,AntonC9018,yahya-tj,Zxenop,kennethcochran,sixeyes,thaddeus-kohrman-at-hchb,mmDevel,leandromoh,SirElTomato,bbarry,KarolWojtasiuk,HossienMehdikhah,SchneiderMK,Seanxwy,virzak,gdoron,behroozbc,ahmed-abdelrazek,Carl-Hugo,lukos,sebastianstudniczek,Sivatronics,alebrozzo,,
flyerhzm/bullet,adamzapasnik,flyerhzm,MichaelLah,camilova,artk0de,jdufresne,cyd886,ahorner,dalezak,rgaufman,arnab-gt,JackLam591,CarlosUvaSilva,aelkoussy,dansajner,duffyjp,n1xn,guillaumewrobel,vlad-psh,samrjenkins,davidwessman,chayuto,CloCkWeRX,jasonfb,wjessop,drnic,,,,
fnando/i18n-js,fnando,oleksii-leonov,trajano,mishina2228,olleolleolle,demedos,chinhnguyen93,francescob,wessme1976,alicanso,,,,,,,,,,,,,,,,,,,,
foodcoops/foodsoft,yksflip,lentschi,kidhab,paroga,wvengen,carchrae,SomeMichael,twothreenine,amigalemming,vitus-a,,,,,,,,,,,,,,,,,,,,
frappe/erpnext,frappe-pr-bot,rohitwaghchaure,deepeshgarg007,ankush,s-aga-r,anandbaburajan,ruthra-kumar,barredterra,GursheenK,ruchamahabal,blaggacao,dj12djdjs,vorasmit,marination,nabinhait,Vishnu7025,HarryPaulo,casesolved-co-uk,muchai,ashish-greycube,maveezmh,nissekalle0,DaizyModi,pancho-s,rtdany10,kittiu,willspenc,saurabh6790,precihole,RJMHASKE
frappe/frappe,ankush,phot0n,frappe-pr-bot,shariquerik,barredterra,sagarvora,surajshetty3416,gavindsouza,marination,NagariaHussain,uepselon,AnandBaburajan,wojosc,maharshivpatel,netchampfaris,pstuhlmueller,dj12djdjs,zongo811,IgorA100,sameer55chauhan,rtdany10,ssiyad,blaggacao,DrZoidberg09,DaizyModi,guilmori,nextchamp-saqib,casesolved-co-uk,git-avc,vvrithof
freebsd/freebsd-doc,grahamperrin,lsalvadore,bsdimp,pauamma,igalic,soobinrho,smortex,sergio-carlavilla,Jehops,hny-gd,khorben,lwhsu,michaeldexter,dbaio,zinh88,adriaandegroot,jakesfreeland,slash071,emaste,agaudiobesson,obiwac,garrettboone,Mashijams,starbops,mrcrilly,cperciva,alonsobsd,netchild,,
freebsd/freebsd-ports,lwhsu,yuichiro-naito,smileymattj,nadiaholmquist,diizzyy,ernix,nerzhul,patmaddox,thedoctorjtd,SumGuyV5,olegsidorkin,lassebm,interkosmos,amotl,tomhukins,dlangille,madpilot78,clausecker,nickhilliard,jbeich,infracaninophile,yurivict,,,,,,,,
freebsd/freebsd-src,bsdimp,grahamperrin,igalic,AtariDreams,khorben,emaste,jrtc27,ihoro,jlduran,ngie-eign,jpulz,tomhukins,VexedUXR,mhorne,markjdb,amotin,kevans91,stephane-rochoy-stormshield,gmshake,shiftee,toor1245,kprovost,eros23,dag-erling,Artoria2e5,bsdjhb,photograveur,mohd-akram,valpackett,ngortheone
freebsd/pkg,arrowd,bapt,igalic,dlangille,cgull,grahamperrin,rcmcdonald91,0EVSG,kevans91,stesser,RhodiumToad,markjdb,saper,fichtner,vishwin,ekhramtsov,UnitedMarsupials,mandree,github-c999-bfa4-cc81,leres,markus-meissner,heliosyne,avg-I,dnelson-1901,lbartoletti,mord0d,brooksdavis,michael-o,emaste,fsmeets
FreeFem/FreeFem-sources,prj-,cmd8,phtournier,cjj197,Hsiang-Yj,yurivict,gruenich,aszaboa,mzf-guest,Long-LongLiang,sagitter,mart-gh,ABoisneault,CarolinePascal,fagnelli,PierreMarchand20,,,,,,,,,,,,,,
FreeRADIUS/freeradius-server,arr2036,jejones3141,jpereira,alandekok,mkhon,ndptech,delexagon,mcnewton,ludomikula,martinsta,asakapab0i,natarajanmm,chiouss,rtmrtmrtmrtm,AXLancelot,megothub,vo-va,roc13x,meadmaker,terryburton,tarelda,gvde,sirmax123,mrw42,rouzier,Spongman,esaaprillia,Arrow768,Jacekalex,hollyclergyman
freerange/mocha,floehopper,herwinw,seandilda,casperisfine,wasabigeek,adrianna-chang-shopify,vlad-pisanov,sambostock,mishina2228,mtasaka,amomchilov,,,,,,,,,,,,,,,,,,,
FreeRDP/FreeRDP,akallabeth,freerdp-bot,hardening,mfleisz,pnowack,akarl10,ligurio,fifthdegree,progxaker,abruening-iwt,EnchantedHunter,DanAtIntegrateIT,bmiklautz,hlefebvre,shmerl,thenextman,gwillegers,digitalsignalperson,dobord,danir-de,PAKHACKERZ,linsui,Greenscreener,llyzs,kbucheli,HackittenKnitBall,joakim-tjernlund,pokemonas,spoelstraethan,khanhthaiquang
FreezingMoon/AncientBeast,andretchen0,DreadKnight,allmtz,chimpirilin,TimBanh,Spheus,Cybulix,verz0,mactavishkkk,utkarsh-shrivastav77,tykm,RANJITHROSAN17,wyatt-revalee,Andrewescu,pathull,kaifkh20,ChristopherWLopez,ANKITSINGH065,,,,,,,,,,,,
freqtrade/freqtrade,xmatthias,robcaulk,coveralls,stash86,froggleston,polyvios-bc,hippocritical,myNextCoder,perkmeister,CryptoRahino,Axel-CH,thunderwin,thkwon9474,AchmadFathoni,Bloodhunter4rc,yili1992,richardjozsa,keithorange,Bgsolid,1db1,rmtucker,dobremha,popperwin,Arivadis,sabatale,Luca65537,Corfucinas,Cazs03,initrv,erhangunay
frescobaldi/frescobaldi,fedelibre,PeterBjuhr,dliessi,Nodd,sesquialtera87,ksnortum,papioara,19joho66,crlpl,akira32,kentron,mauritslamers,adolfoscheidt,igneus,thiryjl,shevvek,invalidoincazzato,Andreas-Kromke,brass999,amca01,StanSanderson,sincere-music,toxasma,ohsaxton,Blue-Zion,,,,,
fsprojects/FAKE,TheAngryByrd,yazeedobaid,0x53A,cataggar,kant2002,gtbuchanan,mrakgr,pchinery,dviererbe,schwarzeszeux,KirillOsenkov,valbers,mattgallagher92,akhansari,matthid,voronoipotato,jakob-ledermann,ray440,hyazinthh,hippieZhou,sWW26,et1975,baronfel,,,,,,,
fullcalendar/fullcalendar,acerix,arshaw,aukolov,leeyea,rloview,michalfordonski,gaurav-simpplr,Sawan1994,pullmann4rent,fitterfizzle,linonetwo,TNAJanssen,xi,bushizhang,dunz,Rarta,ProCheng,WolFoxTheFirst,stehag,sirkosi,dwasyl,adriallongarriu,d9ry,moabbar,Sauron-Dev,MatthewNewportRI,corey-sickinger-sg,raizemm,inthegarage,daviddesmet
fusioninventory/fusioninventory-agent,ddurieux,g-bougard,raulk89,cmeh,prisme666,chrisemke,AnthonyPayan,axplmma,nohaj,dormors,fneyron,,,,,,,,,,,,,,,,,,,
fusioninventory/fusioninventory-for-glpi,ddurieux,laszlokertesz,Sn0wZ57,buborh,MaikBeckerAN,adamcios,acdmail,wahbtb,christgaillard,sygfi,jettarse52,evildoer,AbyssMoon,jissou06,manish2goood,,,,,,,,,,,,,,,
gabime/spdlog,tt4g,gabime,mmanoj,commel,Hakai-Shin,CChuancey,1162431386,markusmu0,xvitaly,18328594608,Simon-Janos,Ulmo-F,sk-surya,raidenluikang,WorstCodeWay,SlavaC1,tksuoran,blueoblue,alex-immersive,SaltedReed,GiridharKC,lovelacelee,SimpleMango,dawagner,zencatalyst,mvaccaro-dev,KkemChen,yockey88,nitinbg200,dayfixer
gabordemooij/redbean,Jemt,Lynesth,relaxdd,rnr1721,gabordemooij,zerecargo,,,,,,,,,,,,,,,,,,,,,,,,
gambit/gambit,feeley,gambiteer,Terramorpha,lassik,sevan,fare,ober,SamuelYvon,ivsukin,belmarca,stefanhusmann,gwpl,chiefnoah,omelancon,rgherdt,leahneukirchen,,,,,,,,,,,,,,
gaphor/gaphor,amolenaar,danyeaw,weblate,sz332,mikekidner,marek-piirikivi,tompkins-ct,Bambofy,ovari,tfirchau,madiharvey,mengibin,Fell-x27,ajoga,TitouanReal,step-security-bot,shobeira,sabriunal,phamduchongan93,franklin-vidal,MInessota,flatrick,Gelth56,Reissner,vanillajonathan,aranvir,,,,
gbdev/rgbds,ISSOtm,Rangi42,eievui5,aaaaaa123456789,pinobatch,ZoomTen,rlewicki,im-mi,Retro-Hax,jevon-23,nunotexbsd,benjschro,maij,bentley,squishypixel,carmiker,Calindro,StanHash,dannye,CasualPokePlayer,orbea,,,,,,,,,
ge0rg/aprsdroid,ge0rg,charlieb,barryshaffer,fds2610,TheButterZone,d9394,Chuckw97055,kyleh928,Thunter96,pepefrog1234,skuep,IU5RCF,kholia,,,,,,,,,,,,,,,,,
geany/geany-plugins,eht16,elextr,liomarhora,techee,asifamin13,joomlafun,hg2581,Skif-off,UlyssesApokin,xiota,VyacheslavGrus,rdipardo,Novak-Zhao,lea2501,DarkgreenWorld,JohnCC330,WIZARDELF,b4n,,,,,,,,,,,,
geany/geany,elextr,eht16,b4n,peter-scholtens,cyberhardt,Baltasarq,plegrand1,techee,kugel-,killerbees19,SymbReprUnlim,ntrel,OlesyaGerasimenko,HelloWorldFR,0pLuS0,creatxrgithub,cwendling,HuamgYiming0608,abdulbadii,masatake,radioactiveman,baoliubin,jamesbond3142,rdipardo,lucasvieites,rovf,bobWinner,jake8923948,WIZARDELF,eli-schwartz
geminabox/geminabox,LukeIGS,tnir,brand-it,ahorek,mslinn,meten-natuurlijk,pboling,nelsnelson,skaes,mkezys,marvinthepa,gatopanx,Eusebius1920,vshunkov,,,,,,,,,,,,,,,,
gemrb/gemrb,lynxlynxlynx,bradallred,MarcelHB,gregariousmonk,burner1024,graag,akdjka,majcosta,anijatsu,rsantellan,i30817,NinjaSpectre,skellytz,TheLastHippie,tomkidd,,,,,,,,,,,,,,,
gem/oq-engine,micheles,ptormene,raoanirudh,asthapoudel,mmpagani,CB-quakemodel,CatalinaYepes,kejohnso,nicolepaul,vot4anto,g-weatherill,antonioettorre,alejocaldeGEM,thpap,schmidni,claudio525,chrisdicaprio,hascar,LanaTodorovic93,pslh,wukonggeo,peter-pazak,JamesGaborVevo,NimaDolatabadi,emabcede30,ManuelaVillani,VSilva,,,
genodelabs/genode,nfeske,chelmuth,cproc,m-stein,cnuke,skalk,ssumpf,jschlatow,alex-ab,a-dmg,Time0o,atopia,ttcoder,trimpim,tor-m6,tomga,,,,,,,,,,,,,,
gentoo-haskell/gentoo-haskell,Miezhiko,hololeap,solpeth,vimproved,amano-kenji,l29ah,markwright,hereGittyGitty,escalopoulet,karky7,rnpnr,stastnypremysl,implr,thesamesam,Thymelizabeth,noodelhl,GuillaumedeVolpiano,mikalzet,formula-spectre,,,,,,,,,,,
GeoNode/geonode,giohappy,afabiani,etj,mattiagiupponi,fvicent,gannebamm,NyakudyaA,syldor,Fedesin,HEM2058,Lucas-cooperate,ridoo,jkariscodes,phardy-egis,snyk-bot,ale-cristofori,obediobadiah,chumano,kaloyan13,meomancer,mwallschlaeger,mkrueger-dev,achorivai,eiacopini,mmotamimi,haneefputtur,jodygarnett,gmagostini,sanderpukk,apexys
georgd/EB-Garamond,amarakon,georgd,medmedin2014,,,,,,,,,,,,,,,,,,,,,,,,,,,
gephi/gephi,Trixx-Darthor,roland779,erkergosien,missmachine84,kiadimundi,leszekmp,Tyrannas,nclintp,aglibert393192,Pepe-Marquez,jackhart591,dluga93,shoantel,y-sheng,Cinga1994,CnaRoshandel,epageperron,Robin8er,ngmaclaren,Aristotle1992,jkrybicki,nabsiddiqui,SpinnerK,frederik-elwert,donpellegrino,lockywolf,elvey,mbastian,,
getsentry/sentry,evanpurkhiser,priscilawebdev,markstory,ryan953,scttcper,iambriccardo,asottile-sentry,corps,DominikB2014,cathteng,ceorourke,malwilley,schew2381,rjo100,dashed,Swatinem,gggritso,wedamija,armenzg,untitaker,scefali,lobsterkatie,RyanSkonnord,barkbarkimashark,leeandher,edwardgou-sentry,vuluongj20,billyvg,JoshFerge,shruthilayaj
gettalong/kramdown,gettalong,ashmaroli,BryceStevenWilley,mctaylorpants,theory,boutil,ionactual,andrewtbiehl,whuwangyong,rubyFeedback,yagarea,nathangibson,sudeeptarlekar,qiudaoermu,jaredcwhite,,,,,,,,,,,,,,,
ggerganov/llama.cpp,ggerganov,SlyEcho,JohannesGaessler,slaren,Green-Sky,howard0su,KerfuffleV2,ikawrakow,ejones,DannyDaemonic,0cc4m,mqy,JackJollimore,TheBloke,FNsi,digiwombat,LostRuins,cmp-nct,mirek190,klosax,jpodivin,xaedes,x4080,rankaiyx,jxy,philipturner,katsu560,Azeirah,FSSRepo,maddes8cht
git-cola/git-cola,davvid,DasaniT,quintusfelix,rjasdf,orazdow,fxcoudert,makcblmru,jm4R,yaellevy,draper-lucid,tester0077,sthalik,atomGit,sh4nks,Ra00f1,1VIP1786,theoHC,kshitiz305,,,,,,,,,,,,
git-ecosystem/git-credential-manager,mjcheetham,ldennington,miya789,hickford,lanrobin,bgavrilMS,JWShaw,FTeik,crevetel,derrickstolee,soloNic2,cyclr-adrian,ibauersachs,dscho,yuki-js,philsttr,OnSive,kawana77b,omri-suissa-clearmash,Pedro923,eduarddejong,jeffhostetler,pievalentin,folfgirl,vdye,ananthb,mminns,daveyostcom,MSamWils,iskeld
git-tfs/git-tfs,siprbaum,lgoens-se,panchadharagithub,Rod-at-DOH,mervyd,vermasumanEgon,Skyswimsky,TONYLUIS309,seanmcconkey,imranakram,,,,,,,,,,,,,,,,,,,,
GitCredentialManager/git-credential-manager,ldennington,mjcheetham,dscho,jeffhostetler,maikebing,derrickstolee,rendall,bbodenmiller,normal-coder,hickford,yoadsn,Favourjacobmudiaga,admin-01-web,roboaks,SaltonSea374,16CentAstrology,tbraun1551,dhirschfeld,TamasSzerb,davecamp6808,bckelley,Jackenmen,Safirion,RjHon,vmipfdr,mderriey,vtbassmatt,jkoppenol,DSMitten,fatso83
gitextensions/gitextensions,RussKie,gerhardol,mstv,vbjay,pmiossec,SimonCropp,MaxKoll,scottsumrall,beiifeng,shirayuki,TamilNeram,andry81,saper-2,GeVanCo,e-stadnik,IlijaQ,NatRavenhill,crypto-rsa,AlexMax,SabotageAndi,drewnoakes,michalkress,AArnott,godcong,sharwell,Maoni0,ThePieMonster,XMuli,dburtsev,Oberon00
github/codespaces-jupyter,slebewmoho,Susanlia,Royalcoco,minsa110,AkbarDanis99,Muktargetu,AbsolytnaiaLove,Pasti-Gacor,Banteng-Merah,puffx69,mrsudrana,Hambatuhan303,Kiok-o,Ginihub1,Idnil007,,,,,,,,,,,,,,,
github/gemoji,mislav,perlun,ghostinhershell,kardeslik,hlaueriksson,Mrcia6,JoshuaDc8,Whatgraph,kyntk,assuranceplatform,eliperkins,bewuethr,Behroozjey12,LevaCompany,chqir,novacrazy,Mokenadoa,parkr,,,,,,,,,,,,
github/gitignore,vierlijner,BananZG,WolfThomas,wooster0,bdoner,AvikAgarwala,altela,lumynou5,sagatowski,Hanaasagi,movatica,HonaiSport23,shehablotfallah,singularitti,Sagargupta16,Chamepp,laschuet,Quantalabs,valhallac,rfalanga,FurkanKambay,csauge,michaelstepner,imorph,GangWang01,chuacw,kaznovac,chabala,jagreenwood,abobov
github/markup,azizabden1981,San3-Cod3,Krisskross1,TAbdiukov,maneheks,OrtnerMichael,LucasUanderson,Mominulis,kasparthommen,Just6789,jjmarks,mohsenisina,paquinmathieu,andersonmoraix,Fatihashima,shynur,ColoMAX,wnm3,v0lta,shoelzer,mwisnicki,dharmatech,ItsiAdam,mdehling,mbaudin47,vanGalilea,ichordev,z1FFy,shrey150,kirk86
gitpython-developers/GitPython,Byron,LeoDaCoda,r-darwish,bodograumann,nricciardi,Beuc,Hawk777,eUgEntOptIc44,linde12,HageMaster3108,marioaag,wonder-mice,CDKnightNASA,rusnackor,CsatariGergely,ChenPi11,dd-ssc,flixman,p-vernaeckt,frezcirno,simjan,inashivb,zfigura,cmingxu,3droj7,Asmokin11,gdyrrahitis,fuhuifang,mcepl,abourget
git/git,john-cai,dscho,hickford,chooglen,vermiculus,qusaibb,listx,adamchainz,ihustle-hard,HarithaIBM,precha1989,sohomdatta1,yimmee123,1ohn-Brown1,romanR1H2,yumjunstar,mjt0k,benknoble,nadav96,jozan,webstech,37elivan73,AtariDreams,sunchao9,Marcus-Peterson,lzsiga,rjusto,corenting,five-sh,kryslynn230
GoldenCheetah/GoldenCheetah,amtriathlon,liversedge,peret2000,MeisterP,dconka,slaclau,MarcoCecotti,deix,docsport77,MicroWu1,MickConnor,Hezelnutt,p-value-sharma,rommeswi,paulj49457,thejockl,ayasha88,zetxx,,,,,,,,,,,,
gollum/gollum,dometto,bartkamphorst,benjaminwil,rgov,jagerkin,guillaume-d,davidtbo,aaakbar,jn64,S-ven-Peters,,,,,,,,,,,,,,,,,,,,
gradle/gradle,bot-gradle,tresat,jvandort,wolfs,lkasso,lptr,big-guy,ljacomet,eskatos,bamboo,asodja,jbartok,alllex,hegyibalint,ov7a,ghale,FrauBoes,6hundreds,donat,h0tk3y,octylFractal,mlopatkin,abstratt,adammurdoch,reinsch82,Vampire,TWiStErRob,sorin-florea,marcphilipp,aSemy
grails/grails-core,puneetbehl,codeconsole,darxriggs,matrei,CLAassistant,fernando88to,Erando89,ppazos,rawi2,jsolas,xpusostomos,rainboyan,jeffbrown,spmcewen,pshotton,ragufronz,brdbry,setEngineer,olavgg,jostheron,Tanusiwag02,paulito415,1365611138,SquareGearsLogic,boardbloke,jarantes17,ahormazabal,mattmoss,matthijsbierman,virtualdogbert
grails/grails-doc,puneetbehl,sagrawal31,JasonTypesCodes,mattmoss,digdas1,matrei,CLAassistant,,,,,,,,,,,,,,,,,,,,,,,
grails/grails-spring-security-core,jchharris,puneetbehl,matrei,mattmoss,bestlong,richardvil,boardbloke,jaabax,Pwdrkeg,dustindclark,,,,,,,,,,,,,,,,,,,,
Graylog2/graylog2-server,dennisoelkers,luk-kaminski,linuspahl,todvora,janheise,mpfz0r,bernd,patrickmann,ousmaneo,drewmiranda-gl,kodjo-anipah,thll,maxiadlovskii,danotorrey,AntonEbel,kingzacko1,coffee-squirrel,moesterheld,williamtrelawny,grotlue,gally47,simonychuang,zeeklop,HenryTheSir,ryan-carroll-graylog,kroepke,samupr,rkmbaxed,tkohhh,fvrflho
grbl/grbl,lidershinobi,breiler,Keshly,ykilic2776,AMIMID,scumari,IBMfan,SpAlex01,Jennywhite2,hahsjs,pemathins,fikririzal,QGB,flynneva,Simonloff,13dc,frogtasty,onatskiy-sergey,jverban31,Sualc,,,,,,,,,,
groonga/groonga,kou,komainu8,abetomo,dylangolow,zamazan4ik,askdkc,genki,,,,,,,,,,,,,,,,,,,,,,,
grosser/parallel/tests,grosser,bquorning,fragkakis,alexlance,kimmy,mnmandahalf,satriahu,kiskoza,ramosjuliano,Brad-FDI,mezbahalam,adis-io,,,,,,,,,,,,,,,,,,
grpc/grpc,markdroth,drfloob,ctiller,yijiem,eugeneo,sergiitk,gnossen,XuanWang-Amos,Vignesh2208,yashykt,apolcyn,rockspore,veblush,gtcooke94,nanahpang,HannahShiSFB,matthewstevenson88,jtattermusch,tonydnewell,alto-ruby,ananda1066,yousukseung,paulosjca,stanhu,YadongQi,ejona86,grpc-bot,LeiW000,erm-g,casperisfine
grzegorz914/homebridge-melcloud-control,grzegorz914,Loggss,ivnikol18,PedroDeLaFrance,spazuino,abuapfbua,ams158,adarodge,simposiummm,cars11,RuiPinheiro65,Reliktdragons,MorreMor,Lechucico,mlamieri,easyproger,bddq,,,,,,,,,,,,,
gwaldron/osgearth,gwaldron,x1244,sebalaig,fkane,emminizer,FuXiii,raghulsekar,DaXiaWei,Robert-Earth,Mario-Yao,RDCH106,winter2011y,plevy,coderc264,OlaRune,mondayboy1,IngoKleefeld,HerryJessica,devil-darkside,Rukawahe,remoe,cll131421,quentinBdr,LexSheyn,,,,,,
h5bp/html5-boilerplate,roblarsen,BennyBPB,Abhisshek717,coliff,mensahTribeWeb,prowaseem,miguelito03juni,vineela-afk,joaopaulorcl,gimenezandrea98,saurabhsah4,xDio-uz,moranopedic,consider11,dgibson666,wboswall,5minpause,,,,,,,,,,,,,
haml/haml,k0kubun,Frigory33,ntkme,petergoldstein,jibees,jdelStrother,kentarohonda,rassom,noctivityinc,NotMyFault,chris74er,krisdigital,lemmuh,DMA57361,dingjiedanielyang-sec,eileencodes,Kallin,zbynek,dentarg,timdiggins,,,,,,,,,,
haraldk/TwelveMonkeys,haraldk,joycebrum,isXander,ben-manes,daaaaa,Enternal-ZERO,shuangyu121,THausherr,yagee-de,ncc0706,p4paul,butlnor,rzam,oliviercailloux,jeffrey-easyesi,rfreeman853,addvanced,gotson,gerritgriebel,EvanDarwin,,,,,,,,,,
hashicorp/vagrant,chrisroberts,allisonlarson,hashicorp-cla,mloskot,kaitlincart,Wenzel,nrukavkov,jimsmith,Outrovurt,gentooise,StephenPooley,kom177,jayunit100,lordgurke,Flimm,smutel,ola-mattsson,viewplatgh,nnlkcncff,ReubenBTalbott,stan-quinn,cjlapao,naoki9911,tbehling,Gator8,adamc-formlogic,vancluever,natpicone,iainelder,rgl
haskell/cabal,ulysses4ever,ffaf1,Kleidukos,andreabedini,gbaz,philderbeast,Mikolaj,fgaz,phadej,coot,geekosaur,jasagredo,brandonchinn178,SuganyaAK,andreasabel,jgotoh,mpickering,grayjay,hsyl20,michaelpj,sol,chreekat,yvan-sraka,mouse07410,bgamari,JoshMeredith,juhp,jneira,hasufell,maralorn
HasKha/GWToolboxpp,DubbleClick,BearsMan,adituv,3vcloud,Lemaggo,JimIrsay,franneck94,EnergyFromGW,YungRocks,Clad-Vesto,Hour-of-the-Owl,TamatieP,MakeMonni,truekenny,,,,,,,,,,,,,,,,
hazelcast/hazelcast,k-jamroz,hz-devops-test,TomaszGaweda,Fly-Style,frant-hartm,JamesHazelcast,srknzl,orcunc,ahmetmircik,burakgok,ldziedziul,kwart,vbekiaris,olukas,Patras3,ihsandemir,pveentjer,mdumandag,arodionov,sumnerib,ramizdundar,ivanthescientist,aditya-32,lprimak,devOpsHazelcast,JackPGreen,kprzygudzki,tommyk-gears,semihbkgr,azotcsit
heartcombo/devise,soartec-lab,rafaelfranca,etiennebarrie,RailsCod3rFuture,carlosantoniodasilva,seanpdoyle,mark-young-atg,Mth0158,john-999,hslzr,chtzvt,glaucocustodio,Edouard-chin,okyanusoz,DerekCrosson,godfreymutebi,Arun-StarApps,jay754,philipithomas,louim,petergoldstein,iainbeeston,dleavitt,rgarver,bvogel,marcoroth,frullah,hs-dliaska,patrickemuller,flamontagne
heartcombo/simple/form,nashby,petergoldstein,martinodonnell,jonasporto,gregorw,KelwinJonas,dinclas,mohamedhafez,charlie-goldenowl,Chelsea46,stasou,risen,rhysb27,klondikemarlen,ldonnet,apsheronets,carlosantoniodasilva,lcjury,chmich,jamesds,trevorfoxsoft,MatheusRich,jaredmoody,braindeaf,,,,,,
heimdal/heimdal,nicowilliams,josephsutton1,svmhdvn,jaltman,lhoward,dankm,esaaprillia,iboukris,jirkanov,SteveSyfuhs,mcr,ahaupt,hyc,riastradh,sbraeuning,abbra,,,,,,,,,,,,,,
hercules-team/augeas,georgehansper,ptoscano,ekohl,dave-re-imprivata,Alan6233,qubidt,lersek,nsandhu-godaddy,martinhoyer,vchepkov,igalic,rwmjones,kovac167,xingxing618,,,,,,,,,,,,,,,,
hibernate/hibernate-orm,gavinking,beikov,mbladel,dreab8,Sanne,jrenaat,yrodiere,sebersole,cigaly,marko-bekhta,scottmarlow,gtoison,Adrodoc,pb00067,FelixDes,TFyre,shijianliang,andrei-ivanov,boutss,datavisortedyu,quaff,franz1981,ctabin,OleksiiKlochko,cescoffier,bradbalogh,vdotjansen,loiclefevre,renzo-schembri,Vikkear
hibernate/hibernate-search,yrodiere,marko-bekhta,gsmet,aloubyansky,,,,,,,,,,,,,,,,,,,,,,,,,,
hierynomus/sshj,exceptionfactory,hierynomus,codecov-commenter,wzd-hash,kajtzu,cebaa,carlwang87,sivaprasadjava,apete,rhuddleston,greyp9,diyangsx,ashishiter,noblehelm,DanWiseProgramming,DileepMK7,ipotapchuk,qq1162411932,dpengftw,basejump,ndrscodes,yoloz,jupiterunone,MingdaMa,RealTYPICAL,abr2019,,,,
higepon/mosh,higepon,okuoku,bentxt,lassik,,,,,,,,,,,,,,,,,,,,,,,,,,
highcharts/highcharts,karolkolodziej,bre1470,circleci-mu,sebastianbochan,pawellysy,TorsteinHonsi,pawelfus,jakubSzuminski,goransle,kamil-musialowski,hubertkozik,andreastistel,bm64,Vazonik,jedrzejruta,jakubjanuchta,KacperMadej,fanuntez,nasin,DJTechnoo,mekhatria,LB0ge,oysteinmoseng,madepiet,SyedTayyab99,marvin19,MarkusBarstad,magdalena-gut,srmagura,msftedad
hluk/CopyQ,hluk,nolimitse,Slackadays,GFDGIT,draftman9,kurtmckee,eggbean,LXYan2333,taylertot,black-snow,kingp0dd,luapfr,axelson,abr0011,luckylittle,nZeus,dominicpalmer,andrewcincotta,antoniodanielegialluisi,Caliber65,thracyturnix,monperrus,NA0341,slvrstn,YinAqu,gitama2023,nanderer,randy9999,DRYN07,Devocub
HOL-Theorem-Prover/HOL,binghe,mn200,oskarabrahamsson,myreen,acjf3,hrutvik,jimgrundy,HaoyangMains,clairexhuang,fblanqui,barakeel,taimoorzaeem,xrchz,,,,,,,,,,,,,,,,,
holidays/holidays,lokkirill,ppeble,n-studio,hlascelles,sania1801,raenier,WorkSutton,i2chris,robwold,benaitcheson,ttwo32,DagonWat,akumar-wavefin,kladaFOX,justinjones,Jonic,,,,,,,,,,,,,,
Homebrew/homebrew-cask,krehel,razvanazamfirei,BrewTestBot,bevanjkay,miccal,p-linnane,Vulxan,owine,moonfruit,chiefmikey,WangEdward,singularitti,rgoldberg,samford,branchvincent,raycastbot,Amorymeltzer,lutzroeder,zuisong,ChristianKraemer,tinhkyaw,tiiiecherle,i0ntempest,reitermarkus,ernestguillem,SMillerDev,hannesbraun,Teko012,ykursadkaya,Kuingsmile
http-kit/http-kit,ptaoussanis,IliasDeros,harold,JohnnyJayJay,ekim7809,leahneukirchen,rublag,vganshin,gpind,Flawless,lwhorton,,,,,,,,,,,,,,,,,,,
