reponame,developer1,developer2,developer3,developer4,developer5,developer6,developer7,developer8,developer9,developer10,developer11,developer12,developer13,developer14,developer15,developer16,developer17,developer18,developer19,developer20,developer21,developer22,developer23,developer24,developer25,developer26,developer27,developer28,developer29,developer30
dlang/phobos,FeepingCreature,dkorpel,dlang-bot,ibuclaw,CyberShadow,ntrel,RazvanN7,WalterBright,maxhaton,atilaneves,Herringway,ljmf00,rikkimax,dukc,JohanEngelen,thewilsonator,katyukha,WebFreak001,burner,pbackus,PetarKirov,Bolpat,John-Colvin,Dany12LU,schveiguy,quickfur,ikeycode,LightBender,andralex,benjones
dokuwiki/dokuwiki,dokuwiki-translate,splitbrain,Klap-in,fiwswe,eduardomozart,glensc,tormec,annda,mprins,gramakri,AzureCloudMonk,dregad,Michaelsy,KoreiKhan,maulanaaghnii,PuppyLord,nerun,GarryTime,tqre-mc,Kilroy-Jenkins,bermk,kgraefe,mr-sven,michitux,bug,JoBongHyeon,syednoaman25,SRamezanH,beatep,nguyenbs
Dolibarr/dolibarr,eldy,frederic34,dolibit-ut,Hystepik,mc2contributor,FHenry,atm-maxime,altairis-tof,FliyFly,defrance,aspangaro,sonikf,BB2A-Anthony,lamrani002,hregis,priojk,atm-adrien,noec764,FlorentPoinsaut,rycks,jyhere,daraelmin,oussamanhairech,altairis-benjamin,ksar-ksar,lvessiller-opendsi,Daviid-P,kkhelifa-opendsi,grandoc,vmaury
dracutdevs/dracut,Henrik66,aafeijoo-suse,FGrose,pvalena,mwilck,floppym,esposem,tblume,mikhailnov,dtardon,cgwalters,lnykryn,AndrewAmmerlaan,ddiss,pomac303,532910,glance-,Werkov,dvzrv,thesamesam,Zer0-One,YoruStar,fayak,YHNdnzj,ViKingIX,wtogami,Cyborgscode,wildcrazyman,gene-git,webczat
DSharpPlus/DSharpPlus,akiraveliara,OoLunar,VelvetToroyashi,InFTord,Plerx2493,Instellate,Erisa,Patrickooos,DubyaDude,lilacse,Quoot,C6OI,Kaoticz,djidave,itsWindows11,Whoit-wtf,Netharria,eimigueloliveir,roxxel,Khitiara,e2489,,,,,,,,,
dtolnay/syn,dtolnay,mo8it,Qix-,danielhenrymantilla,Axel-Reactor,GuillaumeGomez,bzm3r,nurmohammed840,mversic,rambip,rain2307,cicilzx,TedDriggs,daxpedda,glandium,JMLX42,nox,jumbeldliam,ejmount,billy1624,roignpar,atsmtat,nicopap,ActuallyHappening,erichulburd,sam0x17,jneem,arendjr,Mingun,Jasperav
egametang/ET,egametang,mudebug77,susices,cupen,juliolitwin,kenkinky,XuToWei,glight2000,lwj6666,TapsJoy,nwhasd,IcePower,RobinTao,siyuehuang,iiccttff,ohmydone,Player886,jiusk,weykon,zxt385189207,Wallen27,guihouchang,a38782615,AndyQZL,cnxkey,acmercyj,erinus,,,
ekeeke/Genesis-Plus-GX,ekeeke,NicholasBHubbard,ouso1999,joepogo,Sowden,crashGG,Kingharthacnut,KoyMcCloud,Gorilli09,CyberLabSystems,nbarkhina,MatPoliquin,infval,birdybro,orbea,,,,,,,,,,,,,,,
elastic/elasticsearch-net,elasticmachine,flobernd,YohDeadfall,stevejgordon,szabosteve,karl-sjogren,erik-kallen,LionelVallet,TheFireCookie,plachor,technige,virtualaidev,asal-hesehus,gribunin,JuganD,h-h-,gise88,svenhartmann,gobaaspudden,SandervWickeren,EngineerCoding,yansklyarenko,RejectKid,VMelnalksnis,rustunooldu,gilmatok,ssssyj,r4nc1d,mucahitimre,jennifer122105
elastic/elasticsearch,elasticsearchmachine,DaveCTurner,javanna,carlosdelest,kderusso,martijnvg,thecoop,mayya-sharipova,gmarouli,rjernst,ywangd,original-brownbear,kingherc,andreidan,iverase,abdonpijpelink,idegtiarenko,pxsalehi,cbuescher,jdconrad,salvatore-campagna,quux00,n1v0lg,HiDAl,mark-vieira,slobodanadamovic,masseyke,henningandersen,eyalkoren,stu-elastic
elixir-lang/elixir,josevalim,whatyouhide,sabiwara,viniciusmuller,wojtekmach,lukaszsamson,lucasvegi,scohen,scottming,solar05,zachallaun,paulo-ferraz-oliveira,v0idpwn,nathanl,pnezis,mhanberg,gmile,kevinferretti,michallepicki,beeburrt,ericmj,beerlington,DianaOlympos,Qqwy,maco,lud-wj,sneako,dch,firefly-cpp,LostKobrakai
emscripten-core/emscripten,sbc100,kripken,jameshu15869,tlively,brendandahl,juj,hoodmane,dschuff,kleisauke,kainino0x,dakenf,mboc-qt,aheejin,junyuecao,Kassy2048,mame,beaufortfrancois,yangfangfang1204,FrostKiwi,kg,curiousdannii,coderedart,Mintyboi,roj1512,henryiii,tomayac,mikolaj-boc,ravisumit33,shinji-TH,schaumb
EpicGames/PixelStreamingInfrastructure,lukehb,Belchy06,mcottontensor,DenisTensorWorks,StomyPX,MWillWallT,chasse20,vijodvijay,kaelyavel,devrajgadhvi,jibranabsarulislam,Joel-Patteson,timbotimbo,gingernaz,andyng-htech,I-m-None-user,kpradp,Starkium,brycelynch,yovelsapir,hesetone,michaelbecker-d,ganxsh,martinms-usc,gunsha,Pekka1721,aadeshrao123,wujianbo00,lcdlv,MaximeM
expertiza/expertiza,sverma5ncsu,efg,kartiki-b31,ameyagv,shubhangij12,rishikesh-yelne,srilekha98,Ashritha1997,,,,,,,,,,,,,,,,,,,,,,
expressjs/express,dougwilson,debadutta98,krzysdz,jimmywarting,abenhamdine,nbkhope,notthelewis,rluvaton,tjarbo,pGUPT4,koloer-blus,FadhiliNjagi,OldManMeta,AngeloCore,suman313,kevinsandow,Joepolymath,joelrichardvitrana,Kearsan,jaw0r3k,aravindvnair99,Bernice55231,JayeshC-2598,fengnian7,aminxare,Abinashkhuntia,wtaiatella,FAXES,freezer71,duckytutorials
facebook/facebook-ios-sdk,facebook-github-bot,MarketingIQ,NewYorkz,Thaisabastos,joshuarendora1,inshalbaig123,qusaibb,shingt,growly,Pierce29,goelvicky1,vickygoel,Rosalia34,nmamlm,Kleinzsdmn,mnsmasum62786,su855297,AlexeyYarmolovich,dey2raja01,joshua24322,hector-garcia-etsy,ivory-code,jacobsapps,hasayakey,thisisthekap,lixiang1994,aleufms,Emaren,dbaroncelli,waltflanagan
facebook/hhvm,lexidor,facebook-github-bot,Sandra638,jchaffraix-slack,erik-bershel,vikash-itspe,codophobia,antonl2,jubinchheda,bunnypak,xvladus1,mchara01,zamazan4ik,kostmo,SamB,xyyao17,paulbiss,Wilfred,Zulltan77,diliop,paravoid,fredemmott,,,,,,,,
facebook/infer,facebook-github-bot,nibienaohehe,mydy1987,yakobowski,SolomonSun2010,geralt-encore,kohlschuetter,fangyi-zhou,skyleaworlder,mohui1999,glovej,dingxiaolong,coooliang,songgeb,jvillard,master-q,Qiuye-Hua,JiandongLu,jeremydubreil,pkesseli,iMichka,zzz6519003,Achillesed,wahahahahah,lhkzhl,phnx,shankkyy,InfiniteDevelopment,hmottestad,dsmiley
FactoryBoy/factory/boy,francoisfreitag,rbarrois,jgadling,nadege,youtux,WhyNotHugo,dimitri-b,irtazaakram,ascrookes,hmvp,braiam,tildebox,aalvrz,levic,pfcodes,markddavidoff,kingbuzzman,ashirazi2,coler-j,PrenSJ2,last-partizan,anton-fomin,blalor,,,,,,,
factor/factor,mrjbq7,erg,alex-ilin,tgunr,rgrinberg,TriedAngle,olus2000,khinsen,Capital-EX,RibozymeR,razetime,jshholland,amherag,gifti258,ssfrr,bpollack,,,,,,,,,,,,,,
finance-quote/finance-quote,bpschuck,vincentl,szabgab,mumpitzstuff,Wm-X,fabrica64,Kaligula0,Jujhar,s7eph4n,vishalg,diablodale,bentziaxl,lodenrogue,marc-medley,hublol,crowedavid,hymie0,Trentan,avlsi,ka-patel,besteru,mydogonfire,blitz94,3aboooody56,davidamaral1005,pghmcfc,jmozmoz,dima-ser,deck926,Murugan-CL
frappe/erpnext,frappe-pr-bot,rohitwaghchaure,deepeshgarg007,ankush,s-aga-r,anandbaburajan,ruthra-kumar,barredterra,GursheenK,ruchamahabal,blaggacao,dj12djdjs,vorasmit,marination,nabinhait,Vishnu7025,HarryPaulo,casesolved-co-uk,muchai,ashish-greycube,maveezmh,nissekalle0,DaizyModi,pancho-s,rtdany10,kittiu,willspenc,saurabh6790,precihole,RJMHASKE
frappe/frappe,ankush,phot0n,frappe-pr-bot,shariquerik,barredterra,sagarvora,surajshetty3416,gavindsouza,marination,NagariaHussain,uepselon,AnandBaburajan,wojosc,maharshivpatel,netchampfaris,pstuhlmueller,dj12djdjs,zongo811,IgorA100,sameer55chauhan,rtdany10,ssiyad,blaggacao,DrZoidberg09,DaizyModi,guilmori,nextchamp-saqib,casesolved-co-uk,git-avc,vvrithof
freebsd/freebsd-doc,grahamperrin,lsalvadore,bsdimp,pauamma,igalic,soobinrho,smortex,sergio-carlavilla,Jehops,hny-gd,khorben,lwhsu,michaeldexter,dbaio,zinh88,adriaandegroot,jakesfreeland,slash071,emaste,agaudiobesson,obiwac,garrettboone,Mashijams,starbops,mrcrilly,cperciva,alonsobsd,netchild,,
freebsd/freebsd-ports,lwhsu,yuichiro-naito,smileymattj,nadiaholmquist,diizzyy,ernix,nerzhul,patmaddox,thedoctorjtd,SumGuyV5,olegsidorkin,lassebm,interkosmos,amotl,tomhukins,dlangille,madpilot78,clausecker,nickhilliard,jbeich,infracaninophile,yurivict,,,,,,,,
freebsd/freebsd-src,bsdimp,grahamperrin,igalic,AtariDreams,khorben,emaste,jrtc27,ihoro,jlduran,ngie-eign,jpulz,tomhukins,VexedUXR,mhorne,markjdb,amotin,kevans91,stephane-rochoy-stormshield,gmshake,shiftee,toor1245,kprovost,eros23,dag-erling,Artoria2e5,bsdjhb,photograveur,mohd-akram,valpackett,ngortheone
freebsd/pkg,arrowd,bapt,igalic,dlangille,cgull,grahamperrin,rcmcdonald91,0EVSG,kevans91,stesser,RhodiumToad,markjdb,saper,fichtner,vishwin,ekhramtsov,UnitedMarsupials,mandree,github-c999-bfa4-cc81,leres,markus-meissner,heliosyne,avg-I,dnelson-1901,lbartoletti,mord0d,brooksdavis,michael-o,emaste,fsmeets
FreeFem/FreeFem-sources,prj-,cmd8,phtournier,cjj197,Hsiang-Yj,yurivict,gruenich,aszaboa,mzf-guest,Long-LongLiang,sagitter,mart-gh,ABoisneault,CarolinePascal,fagnelli,PierreMarchand20,,,,,,,,,,,,,,
FreeRADIUS/freeradius-server,arr2036,jejones3141,jpereira,alandekok,mkhon,ndptech,delexagon,mcnewton,ludomikula,martinsta,asakapab0i,natarajanmm,chiouss,rtmrtmrtmrtm,AXLancelot,megothub,vo-va,roc13x,meadmaker,terryburton,tarelda,gvde,sirmax123,mrw42,rouzier,Spongman,esaaprillia,Arrow768,Jacekalex,hollyclergyman
FreeRDP/FreeRDP,akallabeth,freerdp-bot,hardening,mfleisz,pnowack,akarl10,ligurio,fifthdegree,progxaker,abruening-iwt,EnchantedHunter,DanAtIntegrateIT,bmiklautz,hlefebvre,shmerl,thenextman,gwillegers,digitalsignalperson,dobord,danir-de,PAKHACKERZ,linsui,Greenscreener,llyzs,kbucheli,HackittenKnitBall,joakim-tjernlund,pokemonas,spoelstraethan,khanhthaiquang
FreezingMoon/AncientBeast,andretchen0,DreadKnight,allmtz,chimpirilin,TimBanh,Spheus,Cybulix,verz0,mactavishkkk,utkarsh-shrivastav77,tykm,RANJITHROSAN17,wyatt-revalee,Andrewescu,pathull,kaifkh20,ChristopherWLopez,ANKITSINGH065,,,,,,,,,,,,
freqtrade/freqtrade,xmatthias,robcaulk,coveralls,stash86,froggleston,polyvios-bc,hippocritical,myNextCoder,perkmeister,CryptoRahino,Axel-CH,thunderwin,thkwon9474,AchmadFathoni,Bloodhunter4rc,yili1992,richardjozsa,keithorange,Bgsolid,1db1,rmtucker,dobremha,popperwin,Arivadis,sabatale,Luca65537,Corfucinas,Cazs03,initrv,erhangunay
frescobaldi/frescobaldi,fedelibre,PeterBjuhr,dliessi,Nodd,sesquialtera87,ksnortum,papioara,19joho66,crlpl,akira32,kentron,mauritslamers,adolfoscheidt,igneus,thiryjl,shevvek,invalidoincazzato,Andreas-Kromke,brass999,amca01,StanSanderson,sincere-music,toxasma,ohsaxton,Blue-Zion,,,,,
gabime/spdlog,tt4g,gabime,mmanoj,commel,Hakai-Shin,CChuancey,1162431386,markusmu0,xvitaly,18328594608,Simon-Janos,Ulmo-F,sk-surya,raidenluikang,WorstCodeWay,SlavaC1,tksuoran,blueoblue,alex-immersive,SaltedReed,GiridharKC,lovelacelee,SimpleMango,dawagner,zencatalyst,mvaccaro-dev,KkemChen,yockey88,nitinbg200,dayfixer
gambit/gambit,feeley,gambiteer,Terramorpha,lassik,sevan,fare,ober,SamuelYvon,ivsukin,belmarca,stefanhusmann,gwpl,chiefnoah,omelancon,rgherdt,leahneukirchen,,,,,,,,,,,,,,
gbdev/rgbds,ISSOtm,Rangi42,eievui5,aaaaaa123456789,pinobatch,ZoomTen,rlewicki,im-mi,Retro-Hax,jevon-23,nunotexbsd,benjschro,maij,bentley,squishypixel,carmiker,Calindro,StanHash,dannye,CasualPokePlayer,orbea,,,,,,,,,
geany/geany-plugins,eht16,elextr,liomarhora,techee,asifamin13,joomlafun,hg2581,Skif-off,UlyssesApokin,xiota,VyacheslavGrus,rdipardo,Novak-Zhao,lea2501,DarkgreenWorld,JohnCC330,WIZARDELF,b4n,,,,,,,,,,,,
geany/geany,elextr,eht16,b4n,peter-scholtens,cyberhardt,Baltasarq,plegrand1,techee,kugel-,killerbees19,SymbReprUnlim,ntrel,OlesyaGerasimenko,HelloWorldFR,0pLuS0,creatxrgithub,cwendling,HuamgYiming0608,abdulbadii,masatake,radioactiveman,baoliubin,jamesbond3142,rdipardo,lucasvieites,rovf,bobWinner,jake8923948,WIZARDELF,eli-schwartz
gemrb/gemrb,lynxlynxlynx,bradallred,MarcelHB,gregariousmonk,burner1024,graag,akdjka,majcosta,anijatsu,rsantellan,i30817,NinjaSpectre,skellytz,TheLastHippie,tomkidd,,,,,,,,,,,,,,,
genodelabs/genode,nfeske,chelmuth,cproc,m-stein,cnuke,skalk,ssumpf,jschlatow,alex-ab,a-dmg,Time0o,atopia,ttcoder,trimpim,tor-m6,tomga,,,,,,,,,,,,,,
gentoo-haskell/gentoo-haskell,Miezhiko,hololeap,solpeth,vimproved,amano-kenji,l29ah,markwright,hereGittyGitty,escalopoulet,karky7,rnpnr,stastnypremysl,implr,thesamesam,Thymelizabeth,noodelhl,GuillaumedeVolpiano,mikalzet,formula-spectre,,,,,,,,,,,
gephi/gephi,Trixx-Darthor,roland779,erkergosien,missmachine84,kiadimundi,leszekmp,Tyrannas,nclintp,aglibert393192,Pepe-Marquez,jackhart591,dluga93,shoantel,y-sheng,Cinga1994,CnaRoshandel,epageperron,Robin8er,ngmaclaren,Aristotle1992,jkrybicki,nabsiddiqui,SpinnerK,frederik-elwert,donpellegrino,lockywolf,elvey,mbastian,,
getsentry/sentry,evanpurkhiser,priscilawebdev,markstory,ryan953,scttcper,iambriccardo,asottile-sentry,corps,DominikB2014,cathteng,ceorourke,malwilley,schew2381,rjo100,dashed,Swatinem,gggritso,wedamija,armenzg,untitaker,scefali,lobsterkatie,RyanSkonnord,barkbarkimashark,leeandher,edwardgou-sentry,vuluongj20,billyvg,JoshFerge,shruthilayaj
ggerganov/llama.cpp,ggerganov,SlyEcho,JohannesGaessler,slaren,Green-Sky,howard0su,KerfuffleV2,ikawrakow,ejones,DannyDaemonic,0cc4m,mqy,JackJollimore,TheBloke,FNsi,digiwombat,LostRuins,cmp-nct,mirek190,klosax,jpodivin,xaedes,x4080,rankaiyx,jxy,philipturner,katsu560,Azeirah,FSSRepo,maddes8cht
git-ecosystem/git-credential-manager,mjcheetham,ldennington,miya789,hickford,lanrobin,bgavrilMS,JWShaw,FTeik,crevetel,derrickstolee,soloNic2,cyclr-adrian,ibauersachs,dscho,yuki-js,philsttr,OnSive,kawana77b,omri-suissa-clearmash,Pedro923,eduarddejong,jeffhostetler,pievalentin,folfgirl,vdye,ananthb,mminns,daveyostcom,MSamWils,iskeld
GitCredentialManager/git-credential-manager,ldennington,mjcheetham,dscho,jeffhostetler,maikebing,derrickstolee,rendall,bbodenmiller,normal-coder,hickford,yoadsn,Favourjacobmudiaga,admin-01-web,roboaks,SaltonSea374,16CentAstrology,tbraun1551,dhirschfeld,TamasSzerb,davecamp6808,bckelley,Jackenmen,Safirion,RjHon,vmipfdr,mderriey,vtbassmatt,jkoppenol,DSMitten,fatso83
gitextensions/gitextensions,RussKie,gerhardol,mstv,vbjay,pmiossec,SimonCropp,MaxKoll,scottsumrall,beiifeng,shirayuki,TamilNeram,andry81,saper-2,GeVanCo,e-stadnik,IlijaQ,NatRavenhill,crypto-rsa,AlexMax,SabotageAndi,drewnoakes,michalkress,AArnott,godcong,sharwell,Maoni0,ThePieMonster,XMuli,dburtsev,Oberon00
github/codespaces-jupyter,slebewmoho,Susanlia,Royalcoco,minsa110,AkbarDanis99,Muktargetu,AbsolytnaiaLove,Pasti-Gacor,Banteng-Merah,puffx69,mrsudrana,Hambatuhan303,Kiok-o,Ginihub1,Idnil007,,,,,,,,,,,,,,,
github/gemoji,mislav,perlun,ghostinhershell,kardeslik,hlaueriksson,Mrcia6,JoshuaDc8,Whatgraph,kyntk,assuranceplatform,eliperkins,bewuethr,Behroozjey12,LevaCompany,chqir,novacrazy,Mokenadoa,parkr,,,,,,,,,,,,
github/gitignore,vierlijner,BananZG,WolfThomas,wooster0,bdoner,AvikAgarwala,altela,lumynou5,sagatowski,Hanaasagi,movatica,HonaiSport23,shehablotfallah,singularitti,Sagargupta16,Chamepp,laschuet,Quantalabs,valhallac,rfalanga,FurkanKambay,csauge,michaelstepner,imorph,GangWang01,chuacw,kaznovac,chabala,jagreenwood,abobov
gitpython-developers/GitPython,Byron,LeoDaCoda,r-darwish,bodograumann,nricciardi,Beuc,Hawk777,eUgEntOptIc44,linde12,HageMaster3108,marioaag,wonder-mice,CDKnightNASA,rusnackor,CsatariGergely,ChenPi11,dd-ssc,flixman,p-vernaeckt,frezcirno,simjan,inashivb,zfigura,cmingxu,3droj7,Asmokin11,gdyrrahitis,fuhuifang,mcepl,abourget
git/git,john-cai,dscho,hickford,chooglen,vermiculus,qusaibb,listx,adamchainz,ihustle-hard,HarithaIBM,precha1989,sohomdatta1,yimmee123,1ohn-Brown1,romanR1H2,yumjunstar,mjt0k,benknoble,nadav96,jozan,webstech,37elivan73,AtariDreams,sunchao9,Marcus-Peterson,lzsiga,rjusto,corenting,five-sh,kryslynn230
gradle/gradle,bot-gradle,tresat,jvandort,wolfs,lkasso,lptr,big-guy,ljacomet,eskatos,bamboo,asodja,jbartok,alllex,hegyibalint,ov7a,ghale,FrauBoes,6hundreds,donat,h0tk3y,octylFractal,mlopatkin,abstratt,adammurdoch,reinsch82,Vampire,TWiStErRob,sorin-florea,marcphilipp,aSemy
grails/grails-spring-security-core,jchharris,puneetbehl,matrei,mattmoss,bestlong,richardvil,boardbloke,jaabax,Pwdrkeg,dustindclark,,,,,,,,,,,,,,,,,,,,
grpc/grpc,markdroth,drfloob,ctiller,yijiem,eugeneo,sergiitk,gnossen,XuanWang-Amos,Vignesh2208,yashykt,apolcyn,rockspore,veblush,gtcooke94,nanahpang,HannahShiSFB,matthewstevenson88,jtattermusch,tonydnewell,alto-ruby,ananda1066,yousukseung,paulosjca,stanhu,YadongQi,ejona86,grpc-bot,LeiW000,erm-g,casperisfine
grzegorz914/homebridge-melcloud-control,grzegorz914,Loggss,ivnikol18,PedroDeLaFrance,spazuino,abuapfbua,ams158,adarodge,simposiummm,cars11,RuiPinheiro65,Reliktdragons,MorreMor,Lechucico,mlamieri,easyproger,bddq,,,,,,,,,,,,,
gwaldron/osgearth,gwaldron,x1244,sebalaig,fkane,emminizer,FuXiii,raghulsekar,DaXiaWei,Robert-Earth,Mario-Yao,RDCH106,winter2011y,plevy,coderc264,OlaRune,mondayboy1,IngoKleefeld,HerryJessica,devil-darkside,Rukawahe,remoe,cll131421,quentinBdr,LexSheyn,,,,,,
h5bp/html5-boilerplate,roblarsen,BennyBPB,Abhisshek717,coliff,mensahTribeWeb,prowaseem,miguelito03juni,vineela-afk,joaopaulorcl,gimenezandrea98,saurabhsah4,xDio-uz,moranopedic,consider11,dgibson666,wboswall,5minpause,,,,,,,,,,,,,
hashicorp/vagrant,chrisroberts,allisonlarson,hashicorp-cla,mloskot,kaitlincart,Wenzel,nrukavkov,jimsmith,Outrovurt,gentooise,StephenPooley,kom177,jayunit100,lordgurke,Flimm,smutel,ola-mattsson,viewplatgh,nnlkcncff,ReubenBTalbott,stan-quinn,cjlapao,naoki9911,tbehling,Gator8,adamc-formlogic,vancluever,natpicone,iainelder,rgl
haskell/cabal,ulysses4ever,ffaf1,Kleidukos,andreabedini,gbaz,philderbeast,Mikolaj,fgaz,phadej,coot,geekosaur,jasagredo,brandonchinn178,SuganyaAK,andreasabel,jgotoh,mpickering,grayjay,hsyl20,michaelpj,sol,chreekat,yvan-sraka,mouse07410,bgamari,JoshMeredith,juhp,jneira,hasufell,maralorn
HasKha/GWToolboxpp,DubbleClick,BearsMan,adituv,3vcloud,Lemaggo,JimIrsay,franneck94,EnergyFromGW,YungRocks,Clad-Vesto,Hour-of-the-Owl,TamatieP,MakeMonni,truekenny,,,,,,,,,,,,,,,,
hazelcast/hazelcast,k-jamroz,hz-devops-test,TomaszGaweda,Fly-Style,frant-hartm,JamesHazelcast,srknzl,orcunc,ahmetmircik,burakgok,ldziedziul,kwart,vbekiaris,olukas,Patras3,ihsandemir,pveentjer,mdumandag,arodionov,sumnerib,ramizdundar,ivanthescientist,aditya-32,lprimak,devOpsHazelcast,JackPGreen,kprzygudzki,tommyk-gears,semihbkgr,azotcsit
heartcombo/simple/form,nashby,petergoldstein,martinodonnell,jonasporto,gregorw,KelwinJonas,dinclas,mohamedhafez,charlie-goldenowl,Chelsea46,stasou,risen,rhysb27,klondikemarlen,ldonnet,apsheronets,carlosantoniodasilva,lcjury,chmich,jamesds,trevorfoxsoft,MatheusRich,jaredmoody,braindeaf,,,,,,
hibernate/hibernate-orm,gavinking,beikov,mbladel,dreab8,Sanne,jrenaat,yrodiere,sebersole,cigaly,marko-bekhta,scottmarlow,gtoison,Adrodoc,pb00067,FelixDes,TFyre,shijianliang,andrei-ivanov,boutss,datavisortedyu,quaff,franz1981,ctabin,OleksiiKlochko,cescoffier,bradbalogh,vdotjansen,loiclefevre,renzo-schembri,Vikkear
hibernate/hibernate-search,yrodiere,marko-bekhta,gsmet,aloubyansky,,,,,,,,,,,,,,,,,,,,,,,,,,
hierynomus/sshj,exceptionfactory,hierynomus,codecov-commenter,wzd-hash,kajtzu,cebaa,carlwang87,sivaprasadjava,apete,rhuddleston,greyp9,diyangsx,ashishiter,noblehelm,DanWiseProgramming,DileepMK7,ipotapchuk,qq1162411932,dpengftw,basejump,ndrscodes,yoloz,jupiterunone,MingdaMa,RealTYPICAL,abr2019,,,,
HOL-Theorem-Prover/HOL,binghe,mn200,oskarabrahamsson,myreen,acjf3,hrutvik,jimgrundy,HaoyangMains,clairexhuang,fblanqui,barakeel,taimoorzaeem,xrchz,,,,,,,,,,,,,,,,,
Homebrew/homebrew-cask,krehel,razvanazamfirei,BrewTestBot,bevanjkay,miccal,p-linnane,Vulxan,owine,moonfruit,chiefmikey,WangEdward,singularitti,rgoldberg,samford,branchvincent,raycastbot,Amorymeltzer,lutzroeder,zuisong,ChristianKraemer,tinhkyaw,tiiiecherle,i0ntempest,reitermarkus,ernestguillem,SMillerDev,hannesbraun,Teko012,ykursadkaya,Kuingsmile
http-kit/http-kit,ptaoussanis,IliasDeros,harold,JohnnyJayJay,ekim7809,leahneukirchen,rublag,vganshin,gpind,Flawless,lwhorton,,,,,,,,,,,,,,,,,,,
hubotio/hubot,joeyguerra,technicalpickles,xurizaemon,joh6nn,levenleven,adligit2,andygeorge,TEE-EMM97,Pilotmcxx,sjetha-pason,davidscholberg,pcunning,hfaulds,scarolan,,,,,,,,,,,,,,,,
hydephp/develop,caendesilva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
icsharpcode/ILSpy,christophwille,siegfriedpammer,dgrunwald,ElektroKill,miloush,KirillOsenkov,modz2014,ltrzesniewski,greenozon,CreateAndInject,clin1234,driver1998,workgroupengineering,andrewcrawley,teo-tsirpanis,irtimir,sgkoishi,pryvyd9,cshung,CyrusNajmabadi,mohramzi,fowl2,Neutron3529,StingyJack,ahdung,jamescrosswell,ificator,MV10,yyjdelete,cremor
IITC-CE/ingress-intel-total-conversion,xscreach,le-jeu,modos189,McBen,Heistergand,Schlepptop,Gollam,Verushomo-jp,BountyHunter23,mxxcon,cody-somerville,DanielOndiordna,jim0watters,,,,,,,,,,,,,,,,,
inet-framework/inet,PhilippComet,levy,howhangliu,zhangteng0526,Musteblume,ccsssyyy,adamgeorge309,ar8384,andrew-lukin,torokati44,tofastnet,Enough7,ZoltanBojthe,avarga,rhornig,,,,,,,,,,,,,,,
intel-analytics/BigDL,jason-dai,plusbang,rnwang04,TheaperDeng,Oscilloscope98,cyita,Le-Zheng,Uxito-Ada,hzjane,leonardozcm,hkvision,gc-fu,qiuxin2012,hoshibara,MeouSker77,ShanSimu,Hanyu-Jin,lalalapotter,xiangyuT,shane-huang,yangw1234,HensonMa,jenniew,glorysdj,sgwhat,Litchilitchy,liu-shaojun,ACupofAir,qiyuangong,Romanticoseu
internetarchive/openlibrary,jimchamp,cclauss,cdrini,mekarpeles,scottbarnes,Eds-Dbug,hornc,tfmorris,JaydenTeoh,RayBB,seabelis,carlsonrob,kmcgonigle,LeadSongDog,wildemberg-sales,Lasseignejk,codecov-commenter,jimman2003,purplem00n,Lux-Sales,onnotasler,russell-warlow,natea123,DebbieSan,pedrocampos0,JohannSuarez,MattSilverio,bitnapper,bicolino34,GustavoHenriqueRS
Islandora/islandora,rosiel,alxp,adam-vessey,jordandukart,whikloj,seth-shaw-asu,simonhm,ajstanley,wgilling,,,,,,,,,,,,,,,,,,,,,
jaywcjlove/linux-command,jaywcjlove,Qliangw,tutianyu101,Evilrabbit520,BingCoke,admxj,apnpc,alfred-nice,Joke-csgo,T-TRz879,wizardforcel,xhal,conglinyizhi,a137933,LinuxZilong,charley008,here200,catAndZ,Luciferseva,ryanwx,abe520,,,,,,,,,
jenkins-infra/update-center2,daniel-beck,yaroslavafenkin,Kevin-CB,daypatrickb,NotMyFault,MarkEWaite,basil,nick-mathison,reda-alaoui,damianszczepanik,akyuznurettin,suleymanbarman,zbynek,dmamidisynopsys,songsb13,TobiX,ChenLuigi,nikhil-dabhade,mrmateo,jtnord,rishav887,alecharp,tdraebing,jayapandi7,ankit-patil-hubs,delanAtMergebase,sig-saraf,,,
jenkinsci/git-plugin,MarkEWaite,basil,ckullabosch,itzikbekelmicrosoft,jglick,Matanelc,timja-bot,samrocketman,olivierdagenais,gabyx,Hrushi20,Seros,AmosguataCyberx,MattLud,harryssuperman,,,,,,,,,,,,,,,
jenkinsci/jenkins,basil,timja,NotMyFault,jglick,janfaracik,mawinter69,MarkEWaite,Vlatombe,daniel-beck,yaroslavafenkin,meiswjn,jtnord,uhafner,niralmaruda,Chrimle,krisstern,Bananeweizen,Wadeck,StefanSpieker,programbeginnerTW,benebsiny,lemeurherve,balakine,arrrtem22,Mysterious-Dev,divyasivasamy,Dohbedoh,Pushkar-Mahajan4,lifefire1,car-roll
Jermolene/TiddlyWiki5,Jermolene,pmario,saqimtiaz,linonetwo,btheado,twMat,kookma,yaisog,Zacharia2,BramChen,mateuszwilczek,AnthonyMuscio,Arlen22,rmunn,buggyj,CrossEye,tavin,flibbles,dongrentianyu,GameDungeon,joshuafontany,EvidentlyCube,whjou,xcazin,Marxsal,tw-FRed,oeyoews,ericshulman,carmineguida,lilscribby
